Bartołty Wielkie, 	54.60679589039159, 	0
Bartąg, 	31.063367707069332, 	0
Bartążek, 	32.728656424060354, 	0
Bartężek, 	3.2668948524277317, 	0
Barwice, 	13.623063215081348, 	3756
Barwik, 	8.189768045895864, 	0
Barwino, 	4.587946723217898, 	0
Barwiny, 	23.477364297106504, 	0
Barzkowice, 	18.176935549168256, 	0
Barzowice, 	2.3433143990943575, 	0
Barłomino, 	21.850281342856885, 	0
Barłożno, 	10.547763787930446, 	0
Baszewice, 	27.414459328768032, 	0
Batyń, 	28.275552427234143, 	0
Bałcyny, 	10.234671551064462, 	0
Bałdowo, 	31.596161545552274, 	0
Bałdzki Piec, 	45.005101449660856, 	0
Bałoszyce, 	10.317390415257124, 	0
Bażyny, 	19.821342811263747, 	0
Bemowizna, 	10.400964013220406, 	0
Benowo, 	21.169987967704134, 	0
Berkanowo, 	31.79460990471047, 	0
Bezledy, 	54.346031166565545, 	0
Bezrzecze, 	9.751740994511755, 	0
Bezławki, 	83.84835046695603, 	0
Bełczna, 	21.764270275371516, 	0
Bełtno, 	30.2226696947638, 	0
Biała Góra, 	24.598119772705935, 	0
Białachowo, 	23.62356423381162, 	0
Białczyn, 	20.865755058238967, 	0
Białogard, 	27.134776224990585, 	24265
Białogarda, 	11.163135680511214, 	0
Białogóra, 	1.8968666952306028, 	359
Białogórzyno, 	19.436207260906073, 	0
Białokury, 	17.00217981475806, 	0
Białowąs, 	21.973761037802525, 	0
Białuń, 	18.32217647442724, 	0
Biały Bór, 	8.960332744182335, 	2209
Biały Zdrój, 	27.95881040542578, 	0
Białęcino, 	10.851092839003211, 	0
Białęgi, 	21.599500666824518, 	0
Biebrowo, 	3.4228959755871324, 	0
Biebrówek, 	19.5878255334102, 	0
Bieczyno, 	5.912004626364026, 	0
Biedkowo, 	6.048247766547856, 	0
Biegonity, 	55.481949170561975, 	0
Bielawki, 	23.77494871117269, 	0
Bielica, 	19.900134628597726, 	0
Bielikowo, 	16.824491835598376, 	0
Bielinek, 	34.7561407851246, 	210
Bielkowo, 	2.724933303418202, 	0
Bielkówko, 	14.953744716251478, 	0
Bielnik Drugi, 	4.425495114471497, 	0
Bienice, 	5.966550753119703, 	0
Bieniczki, 	9.24879366889404, 	0
Bieniewo, 	24.655006548397846, 	0
Bierkowo, 	13.41379095530903, 	0
Biernów, 	22.37365768065228, 	0
Bierzwnica, 	11.778596342345782, 	0
Bierzwnik, 	37.40622803724897, 	1152
Biesal, 	12.821864072423843, 	0
Biesiekierz, 	13.63088280083234, 	998
Biesowice, 	7.2279919780464414, 	0
Biesowo, 	58.10236038949314, 	0
Bieszkowice, 	14.449547806515426, 	0
Biesówko, 	56.97941204228944, 	0
Bietowo, 	17.924855510089824, 	0
Bieńkowo, 	21.079117535843583, 	0
Binduga, 	89.871270182574, 	0
Biskupiczki, 	17.77755332968259, 	0
Biskupiec, 	62.98738004767263, 	10340
Biskupnica, 	4.931681479698536, 	0
Bisztynek, 	61.395084770237894, 	2462
Bięcino, 	13.41762871402883, 	0
Bińcze, 	6.562871234017568, 	0
Bladowo, 	25.30151421170485, 	0
Blanki, 	41.25199601376122, 	0
Bliziny, 	21.86794294491428, 	0
Blizno, 	62.917663861903904, 	0
Bliżewo, 	14.571436611032432, 	0
Blunaki, 	7.504458023127175, 	0
Bobięcino, 	0.6160543325454695, 	0
Bobolice, 	9.970716438964091, 	4365
Bobolin, 	1.1470688763591552, 	0
Bobowo, 	18.752656152761258, 	1271
Bobrowiczki, 	13.190269172583937, 	0
Bobrowiec, 	11.609931270238468, 	0
Bobrownik, 	37.057828195397626, 	0
Bobrowo, 	30.801727363912246, 	441
Bobrówko, 	29.411797088880405, 	0
Bochlin, 	15.116018036180751, 	0
Bochowo, 	6.059592473329227, 	0
Bochówko, 	6.840053258135359, 	0
Bocianowo, 	67.14243487042255, 	0
Bodzęcin, 	19.983098806254908, 	0
